视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,推荐理由,BV号
⚡ 在 5:20 睡 觉 13:14 准 时 起 ！！⚡,学姐圆,5129787,3262,249704,487034,218421,64482,河南,1712376600,144,百万播放,BV1Mx4y1Y7pJ
挑战花光领导的所有工资！,阮阮是个天才7,406587,12674,19611,66409,47995,1180,上海,1712736922,1484,6万点赞,BV1o1421m7Kn
我服了！小米SU7这续航也太……,大鹏快开车,853318,7771,7939,71534,41515,8721,北京,1712710800,716,6万点赞,BV1Mx421S71B
河南省歌是什么梗【梗指南】,梗指南,818766,1756,5166,66031,1183,6449,江西,1712721900,145,6万点赞,BV1ED421s7wD
夜班为什么不拔智齿,铁蛋王先生,1220668,987,6774,120914,1435,1340,山东,1712655866,127,百万播放,BV1pz421y74k
中考完我走出了课堂，想去看看真正的世界～,不吃葱不吃香菜__,2758368,699,64241,349297,12061,8802,浙江,1712396190,50,百万播放,BV17C41157GF
男子尾随中国游客回家，遭2名警员开4枪击毙！EP325,细细的蓝线11,690360,11439,5243,44561,1506,2272,山东,1712718000,865,,BV16z421y7HK
终于来了！DC《小丑2》首曝预告，Lady Gaga版哈莉·奎茵登场！,乌鸦预告片,789296,2053,8379,43614,3523,34391,四川,1712711523,145,3万分享,BV1xZ421i7i5
大学生第一次出国，弟弟：下次可以不和3个姐姐出门吗？,超Carry的柴西,369280,1628,4513,16678,6052,1106,上海,1712739600,597,,BV1am41167pK
加拿大小伙住南昌9㎡：月租350元，苦读《红楼梦》,一条视频,648756,2782,22775,111638,19041,11834,安徽,1712625041,255,10万点赞,BV17m421E7Rt
《吗 喽》,张狗蛋eR,814779,545,20231,53285,25541,24360,河南,1712633400,268,5万点赞,BV15p42197gG
⚡我 在 5:20 睡 觉 13:14 准 时 起⚡,Rocker飞鹰,563563,653,18910,58538,31074,2382,上海,1712556000,113,5万点赞,BV1kz421y73L
七 年 之 痒,盗月社食遇记,1042263,7668,13235,91440,75988,1330,上海,1712655161,1670,9万点赞,BV18m411679g
真 · 保时捷平替，小米SU7~！,键盘车神教,1002875,4989,6084,51069,22279,11842,北京,1712551055,573,5万点赞,BV1J1421m791
【何同学】不用电，你能把一张A4纸扔多远？,老师好我叫何同学,3253433,8863,34810,254187,93853,8025,浙江,1712490129,626,百万播放,BV1cm42177xT
【猫meme】被班主任以为我家没钱没权和同学霸凌我三年后，土豪外婆大闹校长办公室砸碎一地（中）,没作业了叫我,607903,2694,18094,62442,14762,2961,四川,1712664404,404,6万点赞,BV1jE421u76R
半夜擦玻璃竟目睹杀人案现场？！,中国BOY超级大猩猩,238044,4629,7512,37031,14098,398,上海,1712741400,1068,很多人点赞,BV19F4m1K7yd
偷的是我家啊！,凶鸭栗,2062268,712,24641,263976,9907,7573,河北,1712659154,83,百万播放,BV1Bm421779V
"当意大利老爸知道,即将有个中国外孙时,会是什么反应?",路卡和瑞丽,239565,4092,2222,33786,28725,212,浙江,1712739600,539,,BV1TM4m1Q7V1
自从有了小孩，我的疑问不断。,papi酱,1362975,644,6710,170261,11185,7245,北京,1712656873,104,百万播放,BV1vH4y1T7Nd
早起整点包子面条流心蛋，吃完就晕碳！,小紧张的虫虫,284660,740,1529,22560,2885,463,浙江,1712742546,445,,BV14M4m197TV
阿奇误打误撞，竟然成功搞定了锅巴的配方,卡奇食品旗舰店,424922,91,2072,51273,710,154,浙江,1712571454,94,,BV14x4y1Y7Xs
我在韩国花7000租到了韩剧里韩国财阀的家,知名相声演员BBBBB大王,1098384,6912,9364,92384,30910,2815,韩国,1712664000,612,9万点赞,BV1EF4m1T78N
“我在5:20睡觉，下课铃响准时醒”,纽毕斯,1287575,621,52005,170781,76264,14974,山东,1712549100,104,百万播放,BV1ZF4m1K7qo
周杰伦全专辑精选无损音乐歌曲  Flac无损封装歌词版纯享【戴上耳机体验更佳】,故事的小黄瓜丶丶,108533,178,11424,6406,5551,520,广东,1712311235,32782,,BV1Zx421Q7au
终于帮“道上大哥”们办完事儿了，再次见到他们 我的待遇都不一样了,阳桃SunOfPeach,911793,1296,10525,76775,4999,2190,日本,1712657935,214,7万点赞,BV1Zm411z7GC
选秀，但秀女全是反贼,安提米苏,919489,1442,6586,42926,4228,6167,河南,1712298307,169,,BV1Mz421Z7NZ
《重生之我在娱乐圈文里当明星助理》,七颗猩猩QKXX,1397642,1432,6258,157150,4136,2403,湖北,1712655079,158,,BV1gz42117GC
🔥爷 在 5:20 睡 觉 13:14 准 时 起！🔥,星铁切莫Cc,222809,259,7608,19087,3899,678,浙江,1712655651,144,,BV1ur421x73J
别人只看到我喜欢黑丝，没人看到我压抑的人性,科幻小刚i,889183,1345,7237,74773,2568,7063,安徽,1712585376,108,7万点赞,BV1Ym42177by
明知山有虎,嘞是唐孃孃,1573838,243,15040,181331,1794,7935,重庆,1712663319,22,百万播放,BV1ax4y1Y7Zt
探秘水果界“流量密码”！网红蓬莱蕉居然有毒！,穿毛裤的小拉泽,259731,2659,1500,22495,3566,192,山东,1712739000,834,美食测评·人气飙升,BV14x4y1Y79n
我服了…班里的师生关系太乱了！,段炼丶Exercise,1256214,684,5787,153397,1230,1161,陕西,1712643020,139,,BV1np42197PV
开春了！小朋友们注意卫生！,脱缰凯Kk,1349459,2202,15181,151547,6922,1147,辽宁,1712653973,207,百万播放,BV12p421y71K
【猫meme】高中遇到流氓后我的炸弹妈妈和核弹哥哥,超级无敌土豆地雷,319733,457,5752,76811,1876,363,江苏,1712519338,203,7万点赞,BV1y1421m7sm
腼腆害羞内向社恐文静小女生,我叫D三一,1055883,1155,10735,106990,2207,12832,海南,1712664563,38,百万播放,BV1Gx421S7Bd
网易暴雪致玩家的一封信：这次，国服永不磨损！重铸血吼，补偿措施，账号数据问题解答,泰莉亚子,671105,3053,1144,10798,1516,4133,上海,1712715554,194,,BV12Z421i7Ap
芬兰家人第一次在海南狂吃脆皮烤乳猪海鲜大餐惊呼太香啦！横扫夜市买买买！离开中国最后一天感动流泪！,雨琪在芬兰,939910,9711,8625,91137,62913,725,芬兰,1712655210,1371,9万点赞,BV13x421S7re
当年觉得是“太土、太俗”的歌曲，现在网友表示：爷青回！太香了！！,怀旧歌单汇老歌尤盘,298261,3543,15887,23631,4979,2221,山东,1712494500,834,乐评盘点·人气飙升,BV1zr421x74d
《北极熊都能看懂的砂金攻略》,贪欲九头蛇_,402881,1623,4843,43522,4951,2666,山东,1712721600,522,手机游戏·人气飙升,BV1fF4m1K7g3
我和我前妻的男朋友互换配偶，同时也和前妻互换了配偶？【法律连麦】,第七翼刀,591790,5433,8122,51356,1559,24219,北京,1712656800,528,5万点赞,BV1Ax4y1e7GE
成都深夜街边的爆辣铁板烧，还炒了满满两大盘饭，夜宵满足了！,方芳的快乐生活,213488,897,1247,16582,4030,335,吉林,1712743706,570,美食侦探·人气飙升,BV1DJ4m1G7nK
暴雪国服确定回归！网易代理，账号数据全部都在！,夏一可,504456,2674,2490,24941,9193,6533,上海,1712716377,280,,BV1Zx4y1Y7c1
"【明日方舟】你ALL\ALL\ALL\,最后lose光光",彳文xow,520933,476,34433,89808,44927,8442,浙江,1712623500,117,8万点赞,BV1YZ421e7BB
成为老实人后，才理解为什么大爷爱骂营业厅了。,NBzhuoc大,158637,547,2671,19985,5653,422,浙江,1712737063,443,很多人点赞,BV1vZ421e7xe
一口气看完海贼王“故事时间线”！完整回顾海贼王5000年故事，传奇强者奋斗史诗，伟大航路波澜壮阔！,动漫作业本,224531,1013,6641,17440,12632,1249,福建,1712720825,2340,,BV1hJ4m1V7PG
【名利场】女优们的报复,摩尔家陈泰山,174902,569,3076,7083,1853,895,上海,1712663604,694,,BV1Zz421y7rL
人生靠疯，靠孤注一掷,你的陈星越,148994,83,1972,23854,3263,274,上海,1712741251,112,短片·人气飙升,BV15D421s7PG
《谢天谢帝》官方MV 诺米么lodmemo,诺米么lodmemo126,436776,638,3043,21395,4939,3327,湖南,1712634865,208,,BV1eA4m1F7LC
没有技巧，全是感情,敲叶壳,837582,185,6894,88456,1226,1271,重庆,1712633025,30,8万点赞,BV14F4m1K7ew
辞职创业6年，极速拍档经历了什么？,极速拍档,1056471,6845,11410,74832,47076,2959,广东,1712631600,1105,7万点赞,BV1o1421m7C9
判了！漫威征服者康演员判决落定！但他的事业已经被判了死刑,努力的Lorre,1191378,4187,3058,41360,885,1735,北京,1712655165,384,,BV17M4m197uE
关于“00后实习生勇闯电子行业，意外成为运营”这件事,YXC扬兴科技,203778,54,784,41644,3556,101,广东,1712651400,96,科工机械·人气飙升,BV1ut421H72P
婚礼哪些仪式可以取消？【我：全部取消】,康哟喂,1252866,3905,26279,114531,84756,12928,中国台湾,1712570400,762,百万播放,BV11t421E7tF
朋友们，这次在泰国吃生腌翻车了……,JASON刘雨鑫,576571,322,1244,39915,528,2131,北京,1712656922,95,,BV1nm42177bm
“我在5:20睡觉，13:14准时起来吹唢呐”,浑元Rysn,198483,176,2282,24571,1987,843,上海,1712726040,145,演奏·人气飙升,BV1Sp421y7et
FPS枪都穿模了！量子优化技术！量子力学在游戏开发中的应用,小猴哥TA,1409409,189,5500,63245,1167,283,上海,1712652216,78,,BV1zz421y7ex
有人知道《吃不饱三战士》和《练不完三战士》什么关系么？,李炮炮儿,2019040,935,6719,190040,2094,1838,辽宁,1712560225,174,,BV1nC41157oG
好多手艺，学不过来了！都是三十年以上的功力哦～,永琪吗,578905,1495,5748,104137,53498,1354,重庆,1712646367,366,10万点赞,BV1Uz421y7nu
一起感受一下，400米障碍跑一镜到底！,中国青年报,355185,329,2713,68113,1000,649,,1712650040,96,6万点赞,BV1vC41157wc
文化输出～一眼万年,Sunny__L__,356578,205,3551,72703,881,3997,广东,1712712708,31,6万点赞,BV1oC411V7H1
【少女焚烧案】以为烧尸灭迹，结果烧一晚上得救存活,郑郑得证,808865,2911,4359,26250,949,497,江苏,1712636000,592,,BV19m411q7De
在 5:20 睡 觉 13:14 超 度 你！,M_SX,368923,345,9127,40667,5413,4280,云南,1712636944,98,,BV14A4m1F7fh
汤姆的梦中情猫之～白色优雅图多盖洛～,紫菜蛋花兔兔,557766,335,4723,64771,805,6059,广东,1712689080,16,5万点赞,BV1Wm41167z7
【大学老师推荐】懒人必用的AI工具｜再也不用亲自做PPT和备课了！科技摸鱼～,糖果果的未来要发光,210436,183,27265,14769,6546,4973,湖北,1712657009,294,,BV12E421M7et
【半佛】胖东来不出河南，真的聪明,硬核的半佛仙人,298258,328,2445,17600,1191,436,浙江,1712739600,554,,BV13r42147d7
那你应该很幸福吧,在在在这里啊,299071,626,2962,65181,26754,197,浙江,1712543959,143,6万点赞,BV1Ep42197m9
挑战在闺蜜婚礼上跳Queencard！！,兔总裁s,493358,461,8996,33395,1407,550,天津,1712637000,153,,BV1G1421o7Po
《蔚蓝档案The Animation》第1话：阿拜多斯高等学院停办对策委员会,蔚蓝档案,1286520,27645,66710,126893,95342,35983,上海,1712503800,1421,百万播放,BV1cZ421B7EF
爽唱了《Bling-Bang-Bang-Born》顺便还健了个身！,鹿火CAVY,569074,377,10300,46785,8683,1055,上海,1712653200,91,翻唱·人气飙升,BV1RC411V7PG
俺是河南嘞！河南洛阳嘞【5：20AM】阿梓,阿梓从小就很可爱,2638797,2429,54944,119500,67932,43808,上海,1712203200,159,百万播放,BV1dZ421q7tb
草 坪 最 害 怕 的 一 集,萝太永不破防,440953,1116,6456,47636,1923,1132,福建,1712678598,409,很多人点赞,BV11p42197ya
恐怖的竞业协议：互联网大厂在“吃人”,知危编辑部,741630,8832,19545,50062,36618,15616,浙江,1712571570,1089,1万分享,BV1up42197mh
“被压制的那个好像不是我啊！”,二代二代,193616,229,3575,11668,4240,108,广东,1712636309,224,,BV1kx421U7mz
【5：20AM】俺是河南嘞！！,铃乃Chan,465731,353,7894,32671,7504,3456,广东,1712633400,157,,BV1wx4y1e7a8
《我爱发明》里最解乏的发明 将后背抛成镜面！,沫子瞪片,197104,1216,1690,15330,1328,265,河北,1712736900,713,很多人点赞,BV1ym411z7eS
RNG的问题出在哪？给夏季赛定个目标？快看起来！,朱开KenZhu88,340491,1127,1467,15997,3824,1621,上海,1712667936,590,,BV1ED421s7su
如何把五千年的东方文化装进一个盒子里？,南翔不爱吃饭,7891368,8063,249946,407495,341988,7137,江苏,1712207735,378,百万播放,BV1Br42147ZA
结婚4年，我们又做回了同学…,狂阿弥_,1858831,2693,25965,85014,62168,12350,广东,1712309529,982,百万播放,BV1gC411L7Q5
《那场同居毁了我的纯爱梦》,妍妍酱的一天,796044,11582,6627,24653,3824,5829,陕西,1712564894,2323,大家都在搜,BV1vC41157j2
两场比赛狂进10球！传控和反击的极致对抗！皇马3-3曼城，阿森纳2-2拜仁！,隔壁红魔,365806,2186,1409,20738,5451,1042,广东,1712700537,475,,BV1oD421W7dZ
压上全部筹码！成本最大的一集！随机爆氪挑战#3,一叮当猫一,732251,165,2086,19407,10145,197,湖北,1712586487,476,,BV1XM4m1Q7TW
医生遇见的奇葩过敏经历！「几乎对所有东西过敏」还有救吗？,大物是也,187611,1645,1569,12391,2832,1402,北京,1712743200,1298,,BV1Bx4y1Y7ZN
房车将“鸣笛”，快记住暗号【416】！,出发吧麦芬,318452,40,2830,24659,2512,835,上海,1712628000,94,,BV1fK421h7NW
第235道菜: 可露丽 法国宝藏甜点 历经验证的完美配方和做法,Elin造梦想的厨房,307309,178,17228,33721,2740,1598,上海,1712635456,415,,BV1SZ421i7vh
穿中山装，镇压一切邪恶。你们要的中山装铁子们。,卖蛋糕的可爱杨,755759,626,7225,91887,1686,2024,云南,1712636734,23,8万点赞,BV18p42197eh
“老东西，我们走了以后也要保持童心噢”,自动鬼畜中的WZ,437269,1259,26154,70013,41710,4013,江苏,1712376000,205,6万点赞,BV17x421U7QH
想学五角星今天就来教小朋友们编嘛，学会了还是发来看看哦,爷爷的那些手艺,137668,464,14632,76131,22897,327,重庆,1712550496,824,7万点赞,BV1SE421M79G
越优秀的人越努力,余帅的名校行,3551389,0,19110,122665,5265,7325,浙江,1712334806,110,百万播放,BV1fA4m1A77U
广州,MOJi辞書,698539,7000,10635,21329,2298,18234,广东,1712600783,914,1万分享,BV1wE42137Qu
好莱坞真学霸的含金量！这大姐真是神经生物学博士啊！,电影冷知识,206731,526,1666,27300,677,116,吉林,1712733425,241,影视杂谈·人气飙升,BV1uA4m1F7aF
网文“癫狂”时代开启，中原五白落幕，中原五绝能否再创网文巅峰？,网络小说排行榜,372333,1900,5284,15454,1599,463,江苏,1712656610,642,,BV1Xq421F7i5
当办公室有个显小的老师,潇潇学姐lady,1542383,105,3541,132521,525,132,黑龙江,1712658714,63,,BV1RK421h7z6
手撕保险柜、拳打霸道黑帮！一拳刑警超燃回归，再次破票房纪录！《犯罪都市3》,阿斗归来了,1007319,4650,6648,54808,18019,931,湖北,1712570390,1413,5万点赞,BV1VJ4m1L7AH
权限狗网瘾戒除计划（3）,csd777,235992,700,3647,27418,18509,358,湖北,1712668347,412,很多人点赞,BV1ip42197LL
巩哥吃黄连……,老冯的一天,262244,95,728,33525,918,226,天津,1712656830,88,,BV1Vt421J7ks
魔兽世界国服夏季上线？炉石守望星际风暴何时回归？一个视频解答你的疑问！,夏一可,256764,2587,1103,12771,3167,3249,上海,1712723954,453,,BV1Fm421E7mB
西双版纳拇指玉米 —— 一年四季都有的软糯香甜【滇西小哥】,滇西小哥,115803,1061,1390,13359,7172,274,云南,1712743200,1038,田园美食·人气飙升,BV12A4m1w7Uy
一个异火卖3000？不如改名叫斗破钱包：三年死肝！,林虎_LinHu,465930,607,2024,18509,3371,538,湖北,1712654100,410,,BV17m4116765
《破戒！爽！》,伤心欲茄222,1048113,978,7021,148997,1902,2837,辽宁,1712656124,72,百万播放,BV1bF4m1K7YJ
《蔚蓝档案The Animation》片头曲 - 青春档案,蔚蓝档案,149611,343,10244,26397,8416,1801,上海,1712718000,91,,BV1TZ421q7Qv
《重生之我在霸总短剧里当保姆9》王妈外出打工记,七颗猩猩QKXX,2815955,7060,23111,253918,9920,9127,湖北,1712481985,272,百万播放,BV1SZ421e7hL
霸总的她回来了！,派小轩,1357756,1206,5792,149202,6354,1846,北京,1712569650,135,,BV1Am411B7UQ
“最后一波这一刀居合 又是多少橘右京玩家的梦”,北古橘右京,874753,329,2407,37754,603,516,广东,1712466826,137,,BV1qq421F7s1
学了五年动画 3D还原猫和老鼠,我有个动画师朋友,1107016,2136,13309,90430,7072,11808,福建,1712385902,249,百万播放,BV16Z421e73k
在“贫穷”的尼泊尔消费1000元，一路体验相当刺激,蕾儿乔什看世界,96305,3297,1717,10253,9160,629,尼泊尔,1712742911,2440,,BV1ym42177Hy
暴雪回归，今天属于你,走路摇ZLY,390231,75,7105,33816,1573,1875,浙江,1712735336,13,,BV19z421k7hK
高情商可以，但不能没骨气,这个月-,584177,405,19310,54881,1930,880,上海,1712579243,250,5万点赞,BV1BT421m7MX
⚡我 在 5:20 砍 树，13:14打 狗 熊⚡,消失的四次元口袋,315484,494,9720,23875,9143,979,新疆,1712487840,158,很多人点赞,BV1VK421a7BB
赛博朋克中的巨大谜团：FF 06 B5，突破第四面墙！,太阳游戏百科全说,154399,368,4573,14431,1839,1162,湖北,1712676690,891,,BV19m4217761
“我在5:20睡觉13:14准时起！”,深夜摆烂者,152483,252,6893,16401,6668,402,河南,1712545220,156,,BV14q421F7rN
“这便是他在科幻圈封神的原因！”,wrizedm,371209,200,3997,22506,1405,180,北京,1712498299,158,,BV1zM4m197Ny
骗过车机！纯视觉的特斯拉，眼神真的不太好！我自己是不敢用AP了,下尺报告,233613,1735,3180,12701,7790,1375,浙江,1712586120,862,,BV191421m7zx
神 威 难 藏 泪,安静君,229051,226,3847,29515,2833,3621,山东,1712724206,41,很多人点赞,BV1Nx421m7BS
【崩坏星穹铁道】星铁钟离？首位限定盾辅！砂金值不值得抽？光锥 配队 遗器 材料 技能 命运从未公平,梦轩dada,159664,794,1460,10021,2916,891,浙江,1712721900,1126,,BV1zA4m1w71Y
这才是吃猪蹄的天花板，先卤后涮，泼上满满的麻酱，美,胖龙的小生活,574719,2608,1307,25038,4704,714,河南,1712655000,588,,BV1Rm411z7xg
我好像整了个水滴，大家注意闪避！,皮卡悠,1091696,2343,12692,82840,11000,1629,广东,1712491500,452,8万点赞,BV1nZ421B7He
抛弃Lisa，设计师要去香奈儿？富家千金上演回家的诱惑？深度解析【Celine思琳2024秋冬成衣秀】,AHALOLO,181767,1113,1249,10828,2925,169,意大利,1712725200,821,,BV14Z421i7vk
刻在骨子里的爱国从不会因为年代而消失，拳拳赤子心，悠悠桑梓情,李维刚的日常,1840034,1985,21767,331632,75070,1962,广东,1712394007,262,百万播放,BV19D42157Ek
小兄弟你科幻片看太多了吧？,马哥巨离谱,210864,350,774,21045,3489,630,广东,1712747521,84,,BV1Nz42117GX
这是一期Q&A,临时工小陈,662376,1748,2397,38453,3535,166,浙江,1712634613,290,,BV11A4m1w7LQ
脑力工作者的3种累&3种较佳的休息方式,YouCore官方,166673,260,8539,4768,2085,2038,河南,1712655333,478,,BV14M4m197t2
如何让摄影机消失在电影的镜子里,尽整没用的,364474,856,11692,15232,1450,1033,湖北,1712633700,785,,BV1L1421o7VN
老公用自己钱换键盘把老婆气哭了？看看心理学博士怎么分析,李博士和他的朋友们,524944,6284,4235,15576,2613,5526,浙江,1712573085,770,,BV1SE421M7fs
小狗可能也想赌一把，今天抱着的这两个人会带它走吗？,油条不拆家,742169,444,6336,122910,89454,1956,河南,1712575956,135,12万点赞,BV1Cp421y7dj
第一次喊有点害羞了,小姜不辣哈,1532367,1589,7390,149834,3468,3382,山东,1712576893,46,,BV1Nm421E7vh
好险 差点去朝鲜了,侯翠翠,173638,753,714,12336,2273,419,辽宁,1712719800,435,出行·人气飙升,BV1Px421S7sD
童年爆款苦情神剧《我的丑娘》！很好哭，但也很好笑...,虫哥说电影,407418,7816,2816,20439,4007,1910,江苏,1712654400,1478,,BV1fC411V7BA
赶紧跟咱妈妈说，立刻马上不要拖。,李汎的健身日志,1121864,253,44387,104833,4156,8536,福建,1712585309,79,百万播放,BV1Qp421y7CS
流浪汉住上电竞豪华公寓，过上了真正的牛总生活。,浪仔小牛,876508,7431,3159,37556,27888,1930,浙江,1712501828,1120,,BV1mx4y1Y7EL
玉帝，玉帝，我要diss你⚡,MG-AUG-1211,338750,180,2644,17455,3772,3096,河南,1712458800,114,,BV12t421J7Dm
“在大家心中，杰伦最火的歌曲又是哪一首呢？”,周董FM官方音樂电台,1134940,1897,12368,119118,3454,1538,福建,1712301155,279,百万播放,BV1gC411L7mx
第一次粉丝面基，秒变社恐小王！,老王在中国,95475,1240,784,11124,4107,281,四川,1712749524,851,,BV131421m7yj
从开放世界到UGC玩法，宛如手游版GTA ——《极品飞车：集结》新PV解读,籽岷,345776,77,1516,26980,692,78,上海,1712659500,231,,BV18p42197hf
探秘潮汕美食宇宙！中国最新鲜火锅，10盘牛肉吃过瘾！,食贫道,514300,7832,6177,35027,13354,5712,山东,1712658600,1961,美食侦探·人气飙升,BV16z421y7ux
乐评新游 归龙潮三测 越改越糟 尬穿地球 建议重新打磨,东方寒兔,108805,1252,1274,12295,3648,1697,北京,1712741741,878,,BV11m42177WU
记录一下我们改造300年乾隆年间荒废小院的过程！,逃源a,292198,772,3293,30555,5561,549,福建,1712543952,266,很多人点赞,BV1dp421y7Vv
“节奏大师”,亚撒西の士道,1526126,286,70385,249979,17996,9042,云南,1712410061,17,百万播放,BV1BH4y1n7Mn
秽土转生斑,安静君,612207,525,10572,73411,1724,6987,山东,1712213659,43,6万点赞,BV1yq421w7gT
俄罗斯人名字里“诺夫”和“斯基”究竟是什么意思？,俄罗斯导游阿杜,370895,837,5175,48533,922,381,俄罗斯,1712628300,101,人文历史·人气飙升,BV1cE421u78X
见到主人的那一瞬间就像个找到家的小孩子…第一次见识到网络的力量，4个小时找到主人,油条不拆家,582112,396,5559,124766,40632,1580,河南,1712621874,110,12万点赞,BV1yE421M7WS
【上古神战】来自2012年的武林高手对决，恐怖如斯！,-超级小能猫-,185685,405,4337,26432,1231,959,海南,1712665972,169,搞笑·人气飙升,BV1Hm411B7Cc
奶奶第一次见美国亲家，忍不住哭了：希望你们把他当亲儿子！,田纳西Jay和Ari,480171,3535,2628,28437,10376,568,河南,1712630740,950,,BV1FZ421v7oh
市值暴跌50亿！资本撤场，口碑崩塌，百果园为什么卖不动了？,财经不眠姐,379901,1479,1473,14726,689,1005,广东,1712659056,589,,BV1Er42147vo
终于知道为什么有人戴假发那么逼真了，这么多道具这么多工序，都精致到每一根头发丝了,YouTube精彩视频-,4133494,777,11518,189361,716,1558,湖南,1712299907,78,,BV1Aj421R7yK
我的课题跟我不亲,迂磨二公子,254503,76,605,30834,712,122,广东,1712741002,71,,BV1gx421S7SZ
《想带你去迪士尼》,KnowKnow,166607,299,1017,6786,1723,5704,四川,1712678437,153,很多人分享,BV16x421U7SN
最强葫芦七圣人1-999集尊享版,叶良辰MVP,2112984,837,149673,18905,6570,679,山东,1712287479,3705,,BV1Jt421n7fM
如何看待网络热门视频“吃到去世十年爷爷种的韭菜”？【主播说三农】,央视农业,359232,425,1138,45784,1083,401,,1712669720,142,,BV1jE421u7js
如何给大佬设局，中间的操作直接封神 处处算计，暗藏对人性的精准把握,懂一点人情世故,543504,229,5570,66742,778,279,广东,1712560887,246,6万点赞,BV1Dz421k7CB
鱼香茄子土豆牛肉黑椒肠坛子肉拌饭,巨爱吃的周黑鸭,656439,671,3318,57879,1289,1743,北京,1712571244,265,5万点赞,BV1Qz421k7Lt
红警密密麻麻的飞行兵！简直不要太恐怖了！,红警HBK08,252358,1415,635,16905,1675,103,江西,1712707200,719,,BV1uH4y1M7ng
【warma】诶，你有没有听见花在说话？,Warma,1462222,766,33834,125198,37301,3508,云南,1712566800,201,12万点赞,BV1PZ421q7VF
【奥运冠军的脊医博士后】腰突出了不要怕 硬核3招有效,脊医博士鹏哥,464237,219,17705,24662,4510,4976,上海,1712572938,602,,BV1zE421M72Q
奥特曼申请出转,-宋瑶,2122495,2143,26745,181197,22576,48606,北京,1712408330,68,百万播放,BV18T421m7L9
爆肝40天120000字，挑战全网最细唐人街探案宇宙全系列！希望有500收藏就行,不善言辞的秃秃,165577,939,9216,11828,9153,506,广东,1712634900,33565,影视杂谈·人气飙升,BV1LJ4m1L7Xf
【炸弹人】这些诡异画面你都见过吗——这游戏竟有这么多秘密,游戏漫聊,186958,2058,2032,8783,3006,411,吉林,1712664321,897,,BV1H1421m71Q
快接一波健康，发财，上岸！,_张天琪,754504,4195,6319,133291,25755,326,四川,1712579208,188,13万点赞,BV1KM4m1Q7eA
现场观看皇马3-3曼城神仙比赛太精彩了！简直欧洲德比！,汉青书半霍去病,311247,3447,837,6671,1088,390,西班牙,1712723177,623,,BV1Fx421S7kf
有多少boss能战胜“最佳演出Boss”称号的教条？,我是谁压实度,140294,296,2228,12650,7324,168,江苏,1712717313,574,很多人点赞,BV1wD421s7D3
耗时40天用牛骨和竹子，做套“竹骨麻将”是什么体验？,苗大冬,254416,910,1298,14601,10316,326,河南,1712653200,283,,BV1np42197cU
氪不容缓：集齐4大泰坦怪兽，4种死法你选一个？,著名神经哥,260286,303,4400,23380,5838,296,湖南,1712651078,319,,BV1TD421s7vR
今天模仿的三位女二都是超级女神级别了！斗胆模仿一下神韵，大家轻点喷哈哈哈哈,李如儒也是李蠕蠕,1192580,1289,4298,130902,5365,262,广东,1712572800,91,,BV1ip421y7UH
《瘦弱可爱的同学》,坤坤不会整活,892429,832,15499,113664,1598,3697,浙江,1712280808,116,11万点赞,BV1Jz421Z7tk
没想到这个视频我能出第二期,挪威老王,264457,659,1584,36331,1827,254,挪威,1712665688,191,,BV1x1421m7sd
广州最好吃的大排档！顶级锅气，每一道菜都精彩！,渣叔爱酒,565623,1320,11181,42593,13891,8176,广东,1712577453,397,,BV1VE421u7Fv
这消息可真消息啊,池野林Club,1477304,136,6804,129526,1392,5343,四川,1712584187,51,,BV131421m7kp
瑟莉姆还能更瑟吗？当然能！！！,我是老鱼哒,680487,628,17506,91506,1482,4797,辽宁,1712646000,41,8万点赞,BV1GC41157Kg
多尔衮演成二愣子和酒蒙子！《无限超越班》全员造孽,开心嘴炮,233003,2126,945,10880,950,695,湖北,1712716800,646,,BV14M4m1Q71e
我把《赤色要塞》重制成了高清次世代版,绝处逢生的赵大哥,774198,2806,9018,54229,39988,1548,江苏,1712489302,689,,BV1Em421E7RG
【开箱】提完小米SU7实在没绷住，剪了一期路人反应...,陈抱一,1313725,4713,6931,56455,15085,18789,湖北,1712546538,625,,BV15r421x7uV
5.20am，河南小伙点根烟唱起了从前,鬼叔黍,136801,369,1636,12293,5365,771,广东,1712718528,160,,BV1mm421779N
简简单单吃肉,敦煌老马-羊头,276173,453,1016,30063,551,654,甘肃,1712655296,136,,BV1wx421m7ev
经典《阎王点卯2.0》返场,悠悠球琛总,2035190,610,24191,314729,12625,14989,天津,1712402336,64,百万播放,BV1jx421S7h5
【奥特闲谈】副奥们：圆谷你欠我这的营养你拿什么还？！,在下三少啦,84295,750,1831,10838,1969,109,吉林,1712745000,816,,BV1dm411q7F9
把星铁做成国漫番剧！爆肝一月！星穹修仙传！第三集！,猹泡饭233,516328,1899,17067,63174,24310,2921,浙江,1712570400,465,,BV1sq421c7a8
练车噜,吃了个迟x,524786,397,20350,91767,2044,2957,云南,1712662411,33,9万点赞,BV1JC41157vJ
超顶！周深《月光》清唱版,酷狗音乐,322097,1243,8649,23982,8029,2728,北京,1712568653,239,,BV1BM4m197u1
脱贫第一步，对有钱人祛魅,平原小狐,470537,181,9746,22608,2312,821,浙江,1712571519,568,,BV19D421H76q
