视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
【猫meme】我同桌写了噬菌体x大肠杆菌同人文,林林rest,987416,729,43185,181952,3511,25689,重庆,1712328213,65,BV1wC411j7U7
#高中生第一人称抢饭#同城优先#校园生活,浩王角望不到尽头,638883,978,21386,76277,3308,1411,广东,1712498869,42,BV1fF4m1P7yx
10年中医学硕士告诉你，你的红枣吃错了！,护肤硕士王随天,534168,38,23922,25089,1002,3604,广东,1712829600,63,BV1EE421u7Cj
一次性筷子，聚会请客再也不用洗一堆的筷子了,昵昵不困,1909746,427,999,16126,149,197,福建,1712742505,13,BV16p42197xU
大学生毕业指导！简单的菜做出超绝口味的必用技巧！速速码住跟练！,阿白的金手指厨房,198523,231,13483,23641,1115,1022,山东,1712735797,176,BV1Xt421J72C
小螃蟹买回来这样做，嘿！那叫一个香！,鲤戌美食,777032,186,1802,25002,93,283,浙江,1712831032,41,BV1qT421m7xy
六年级，正比例和反比例#数学思维 #每天学习一点点,青衫图解数学,714700,76,51129,10439,2122,116,江西,1712311200,81,BV1dC411L7ut
马鲁古群岛生存：编制大号鱼笼放到海里后，带着鱼叉潜水寻大货！,户外探索中,403219,212,2026,18931,476,131,广西,1712749924,409,BV16m42177BS
张三5:20睡觉，13:14打开手机,伊犁法院,245434,374,6936,59302,2652,756,新疆,1712819175,62,BV1wx4y1e73f
不爱做饭的原因,乖巧宝宝Quby,438176,152,2505,46997,604,2446,广东,1712837186,23,BV1Ax4y1e7T6
黄瓜：上的了战场，下得了厨房,CP神b站唯一账号,984547,285,5406,65491,276,1517,河北,1712535051,25,BV14T421m7x2
这是我心目中的Magnetic MV!,安逸的静同学,537142,367,6321,46736,2347,3730,江苏,1712572890,170,BV1oA4m1F7BL
你知道空的关系谱吗？,皮皮派蒙,354666,369,6371,34836,242,1684,广东,1712817971,79,BV17x421S7um
不会还有小猫没有坐过猫猫巴士吧！！！,金三柜,416071,98,7949,47760,765,6126,四川,1712672210,26,BV1hx421S77C
《瘦弱可爱的同学》,坤坤不会整活,1413733,1098,23905,180101,2495,5175,浙江,1712280808,116,BV1Jz421Z7tk
被秀气的新同事秀了一脸,小文颖灬,731030,95,3396,62331,681,517,广东,1712671347,32,BV1SM4m1Q7Hi
正直销售,夯出奇迹ya,520536,116,1037,34725,240,50,陕西,1712827801,75,BV1fq421F7Li
地铁逃生独眼蛇的神秘档案（半张残页）,鲨娘地铁逃生,396712,22,9408,1770,174,6,江西,1712742036,145,BV1jA4m1F7QG
时隔6年 ，以现在视角看画面依然相当惊艳,打酱油の咪咕酱,591436,51,407,1541,20,33,吉林,1712747525,232,BV1vZ421e7np
报兴趣班，只是为了当别人在台上闪闪发光的时候，你不会只能在台下默默的鼓掌。,是个懒妈LM,294123,331,2395,32423,1680,1894,安徽,1712743608,194,BV1yx421U7v9
他从未离开过你,影绘po安潘,246522,203,7302,48418,4372,634,贵州,1712819677,19,BV1ED421p7tz
出门就是地铁口，旁边还有大型商，在这样的环境下生活，你愿意吗？,花记旅美,868612,63,340,17156,167,127,广东,1712711152,25,BV1tA4m1F7Cc
老Snake聚餐，没烟没酒了？,朱开KenZhu88,497026,46,1113,31208,1040,779,上海,1712822937,20,BV1nT421m7Cw
大型纪录片《拳王沃克》,桔子乐666,2444466,0,49585,7023,965,5,山东,1708910717,78,BV1br421s7YR
所以生命啊 它苦涩如歌所以生命啊 它璀璨如歌,杏羽001,554751,1,34030,4715,734,35,福建,1712418965,137,BV1Km411B7Po
躺床上练的健身瑜伽瘦全身训练#瘦腿瘦腰瘦肚子 #懒人减肥  #居家锻炼,王教练爱健身,102387,16,18630,6751,894,1852,广东,1712668095,238,BV1TD421s75F
当你突然变有钱，一定要做的几件事,美丽的臭小汁7,2998722,9127,47797,446394,19378,1846,重庆,1712399400,51,BV1q1421U7RC
外国人挑战中国之美，今天是苗族,洋盆友,724916,747,9823,128216,2478,699,上海,1712280991,35,BV1Bf421o76D
饭卡手机，进厂之道就在其中,牛牛纪录片666,1735315,0,19808,2733,280,6,广东,1711935861,70,BV1PM4m1d7En
