视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
冒险之旅（39）：利用核弹炸末影合金，准备挑战哥斯拉,方块南瓜君,1367429,28,18689,2259,408,8,内蒙古,1712638619,402,BV1JF4m1T724
“游戏玩家的不同红温技巧”,数码宝贝坤,1004729,130,5650,75848,212,553,广东,1712907686,47,BV1Tr421V7ki
【明日方舟】巴别塔 全剧情流程实况 杨颜同学,杨颜同学,448447,13279,8204,21443,8478,1166,上海,1712856343,29978,BV11E421M76Q
神经病啊！,星河游戏队长,1098923,254,9555,44118,341,483,北京,1712827800,73,BV1kA4m1w7fr
《 蝎 子 赖 赖 》,觅渡Dzg,481874,223,1476,61694,368,828,四川,1712837518,160,BV1Cr421x7fZ
让迷人体验一下被兰博帮的感觉,逸鸢兰博,687803,562,643,35964,394,504,广东,1712764381,213,BV1Nm41167VM
魔兽十大未解之谜，之天谴之门中的怪物,GM视角看游戏呦,537595,247,15131,5586,310,50,北京,1712759309,946,BV1UZ421i7xy
对不起，其实我是「法老」！？,黑猫大少爷,442042,2808,6080,46254,7130,225,上海,1712966400,1506,BV13M4m1D74f
看见我的枪了吗？,王者荣耀听安,1234347,140,4989,22819,318,782,湖南,1712837221,122,BV1bH4y1T7Yz
不是，哥们这也行啊？,小海锤石,1336954,240,1363,58343,653,266,浙江,1712742773,94,BV1SC411V7qZ
【2024LPL春季赛】4月11日 BLG vs TES,哔哩哔哩英雄联盟赛事,1060234,8399,1257,10539,1698,417,上海,1712834468,18370,BV1Pt421J7LF
春眠不觉晓，下一句猜猜谁答对了,小蒋睡不醒-_-,643941,20,12258,1393,114,10,江西,1712768461,196,BV1Gm411B7hE
蛋仔派对：遇到一个自卑蛋？性格怪异孤僻，保安队帮他找回自信！,游小浪Game,1056150,46,6763,1140,148,27,河北,1712739323,255,BV1cJ4m1V74Y
你无敌了号主,原神辅酶,645323,151,6768,77021,471,5545,广西,1712918530,48,BV1wH4y1T7hE
《北极熊都能看懂的砂金攻略》,贪欲九头蛇_,743544,2224,8943,71135,7018,3863,山东,1712721600,522,BV1fF4m1K7g3
【原神】最实用的优化！4.6版本十大顶级优化！,小早柚原神,444232,1417,7548,69949,348,5714,浙江,1712732752,87,BV1BZ421e7HE
难言x：你自己闯进来的,难言言x,616826,335,6747,66303,240,241,四川,1712752305,10,BV1zC41157pE
T0辅助流角都！,うえすぎ绘梨衣,448790,307,3061,45461,1177,1733,河北,1712924004,183,BV1Xp42197co
《深空之眼》苍鹭·托特角色PV「世间为舞台」,深空之眼手游,858358,294,6844,28818,6008,3421,福建,1712739600,106,BV1np42197ey
当10个盲僧同时q会发生什么？【克隆大挑战3】,布锅锅,651766,801,1087,26692,886,937,上海,1712820843,236,BV1kz421k7a7
破大防！砂金卡池被全面针对？这是一场豪赌啊朋友！,PIKA啊秋,449105,712,5975,58522,229,4726,上海,1712804400,98,BV1pA4m1w7KX
辅助能力拉满！可阻碍监管者追击！火灾调查员技能介绍！,小小小砸墨,576855,759,4730,50959,286,9156,广东,1712854443,89,BV1Pm411B7u8
啊？27.0,KL_qiqi_,394155,2470,5530,44654,6815,570,重庆,1712970000,304,BV17Z421Y7ui
【节奏盒子dead inside版】这...这，就爆原曲了？,GPU-hunter,252778,184,13724,38312,1703,267,浙江,1712751750,155,BV1gJ4m1V7GB
镜大招变陀螺，女娲方块无限转，策划你看看你的王者峡谷变这样子了！,王者荣耀慕矢幻影镜,1148662,143,4678,54540,197,1919,浙江,1712736299,58,BV1tC41157yV
这些庄园的自定义鱼真的都太有意思啦,蛋仔勇敢牛大,665981,4,35588,3109,818,6,四川,1712740618,61,BV1st421J7rg
光听声音哪还分得清这是英雄联盟还是王者荣耀啊,重月辅助,390547,981,3521,45191,667,2976,浙江,1712843385,477,BV1ZE421M7WL
《一分钟讲完散兵背景故事》,臼子哥,432094,165,13203,52391,601,1265,广东,1712831954,61,BV1yJ4m1V75B
白天打瓦vs晚上打瓦,Suber368,1302666,98,995,56623,210,2242,四川,1712745146,45,BV1sA4m1F78B
CSGO躲猫猫：演我是吧,禹辰OvO,2261705,257,5363,125015,376,545,黑龙江,1712675107,70,BV11t421E7WS
