视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
这是我心目中的Magnetic MV!,安逸的静同学,538255,368,6331,46847,2349,3736,江苏,1712572890,170,BV1oA4m1F7BL
哈咯b站的小盆友们大家好哇～我是刀刀我来啦～,刀酱,311097,174,6079,41080,2168,746,河南,1712896233,27,BV1FD421W7qJ
黑凤梨,炮男叔叔c,2752416,873,25426,338565,3094,5655,广东,1711287348,73,BV1Cr42187Tm
周杰伦全专辑精选无损音乐歌曲  Flac无损封装歌词版纯享【戴上耳机体验更佳】,故事的小黄瓜丶丶,368277,359,40243,22885,20836,1892,广东,1712311235,34140,BV1Zx421Q7au
【猫meme】音游交际花，公然开音趴,MuseDash_喵斯快跑,166912,1289,4437,28973,4911,4008,广东,1712912400,501,BV1Em421j7e5
化学老师版云南打歌,三品大叔1,373278,48,4690,47717,568,637,山东,1712849226,21,BV1qF4m1K7y4
梨花香~缠着衣角掠过熙攘 ｜小唱一段《霜雪千年》,兰音Reine,248270,248,7732,31575,6058,556,美国,1712806636,76,BV1yA4m1F7ZX
俺是河南嘞！河南洛阳嘞【5：20AM】阿梓,阿梓从小就很可爱,3301008,2812,67811,139164,78859,51392,上海,1712203200,159,BV1dZ421q7tb
Papercuts - Singles Collection (2000-2023) Vinyl,LinkinPark,497024,40,3422,33520,500,175,美国,1712743817,24,BV1aH4y1T76i
5：20AM，但是最适合二次元的一集,昼歌里Hiru_u,657729,112,38442,148306,8691,4750,浙江,1712569816,31,BV1kA4m1F7tM
所以生命啊 它苦涩如歌所以生命啊 它璀璨如歌,杏羽001,558045,1,34200,4742,745,35,福建,1712418965,137,BV1Km411B7Po
前方超神!!外国人用吉他高能还原《一路向北》!!,CasperEsmann,195891,865,5049,14452,8524,1236,上海,1712838890,296,BV1zz421k76n
前方超神!！德国钢琴家上海街头炸响《诀别书》,oskarpianist,203686,473,5061,16279,6775,863,上海,1712918400,227,BV1T1421Z7TK
@胡彦斌，这是能说的吗？,不普通人类实录,352866,2297,3437,22700,4409,958,北京,1712721600,1099,BV1sK421a7di
【4K珍藏】戴佩妮《怎样》！名场面来了！,4K音乐馆,498760,1342,3615,15897,586,1053,山东,1712657100,282,BV1rz421y7ip
“主打和阎王拉扯在奈何桥边上  生死簿改两笔！”甜妹熬夜版『5:20AM』,Minicatty,169546,43,8067,38889,6416,1929,湖南,1712880300,65,BV12Z421e7mc
时隔8年！音乐一家梦幻联动《One Day》原唱，温馨表演！,音乐夫妇Yonina,229142,190,5010,29194,4662,733,浙江,1712819393,96,BV1UK421h7Gf
那些前奏就让你热血沸腾的歌,TOK_I,3305004,1487,395906,148328,21476,1337,广东,1711253647,78,BV1cH4y1W7F2
“梨花香”是个啥？短短几天就22亿话题热度，原曲却还有人不知道歌名！,咖啡影音,170601,9,12584,1604,137,2,江苏,1712745977,192,BV1AD421p73x
【Phonk从A到Z】15分钟听完Phonk的半壁江山,火海vol2,115083,142,19550,5577,1873,42,北京,1712660935,880,BV1Zz421k7Ws
崩坏3《Moon Halo》这首歌曲水准怎样？为什么那么多人喜欢？详解详解~~~~,彭森老师,175016,1651,6278,19425,3074,502,广东,1712738909,920,BV16E421M7Lq
【milet】吉他弹唱「Anytime Anywhere」,milet_music,123597,126,5551,26849,10664,2145,日本,1712925000,140,BV1JK421a79R
国外声乐老师对比《High歌》舞台 黄龄 周深 张玮 锤娜丽莎 常石磊 REACTION,JKAI杰凯,286609,7841,1174,14086,4226,286,加拿大,1712894400,2172,BV1dx4y1Y7jg
又是一年毕业季 不过今年轮到我了,敏锐番茄,238730,106,8948,24721,2862,810,浙江,1712835095,73,BV1fH4y1T7ei
一口气带你听完，福禄寿演唱最火五首歌曲，你是从哪首歌认识她的呢？#福禄寿 #我用什么把你留住 #马,林小兔音乐馆,346227,5,38228,4185,689,2,山东,1712394669,161,BV11z421k7F1
自由二字本就条条框框，牢笼两字反倒四面透风,GkTz1,417505,383,93628,60293,8597,560,湖南,1712407524,89,BV1nr421471d
【网络热歌】5:20AM（河南说唱版）--刀酱演唱--动态简谱,scot-1988,189192,0,19796,1623,374,11,陕西,1712592473,157,BV11p421y7QR
或许成为遗憾，才会让人念念不忘,辞镜音乐,285736,2,51588,5078,1312,6,江苏,1711882542,640,BV1vm411k7bU
【MV】米津玄师双马尾造型出演新曲《さよーならまたいつか！》MV,米津玄师资源放送协会,146133,346,5942,15600,1173,3117,日本,1712880172,204,BV1Fp421R7DS
5:20AM - 刀酱『我在5:20睡觉13:14准时起』【動態歌詞】,音乐风向标MusicLyrics,1379057,1410,45627,44207,12128,24628,北京,1709178604,164,BV1YZ42127yu
