视频名称,up主,播放量,评论数,收藏数,点赞数,投币数,分享数,发布地点,发布时间,视频时长,BV号
第九集 裂风城之主，井中月,吾叫雕会飞,37238,3,644,2420,242,3,重庆,1712680295,450,BV19E421M7Mm
第245集 手刃始魔,沙雕龙轩,20247,75,247,2334,368,14,山西,1712909839,308,BV1nw4m1m7G4
三夫临门：若非我灵脉受损，今日就是你死期！,小挽君vg,79520,1,6431,429,37,3,重庆,1711449923,970,BV1Q1421S7uM
武祖就提了一下而已  炎帝直接给了镜头,勿念混剪,68921,3,162,600,2,4,广东,1712658927,30,BV1rm421779W
【鼠标指针】来点罗小黑主题的Windows（1）,小灰不是黑,10737,3,1469,1226,770,153,安徽,1712669728,159,BV18t421J7Sy
江思第二季大结局,蜘蛛漫画,462589,4,15946,1487,93,1,广西,1698854456,167,BV1EC4y1J7PM
#非人哉#深度解析龙的一天！,非人哉工作室,34178,12,68,3786,5,8,北京,1712905686,40,BV19t42177b2
全网寻找蛋搭子，六年级的同学们你们也要快做好准备了，总该有分别的时候,魑魅ぁ,41648,112,275,382,32,29,海南,1712916480,77,BV17i421f7ek
重返天渊界，九灭大劫再临！,在下豆缺,19807,47,238,1921,391,10,山东,1712872800,349,BV1hA4m1F7Gb
啊啊七年前暴死国漫留下的白月光CP！大盗和公主设定超甜古偶至今无代餐！,蒙娜丽鲨鱼,309235,143,5448,8164,834,341,江苏,1712244740,186,BV1fz421o7X1
这是你的童年吗？喜羊羊+神奇啊呦来到了你的学校！,IAA虾饺,852644,234,15140,5868,1378,79,湖南,1711704407,63,BV1Lt42137rV
第九集：贵娃哥说过出去闯荡有三分的本事吹出七分来！,雕炸天I,19112,33,314,1663,288,5,广东,1712928755,337,BV1Ar421573B
满级大佬炎帝萧炎纪录片,炎漫剪,33960,10,70,1665,7,20,河南,1712888176,77,BV1Yx4y1a7F6
《农场达人》第1-3集：辛勤的小蜜蜂每天卖力劳作，可游手好闲的蜂王竟要把她赶走。,小川说漫馆,396925,24,16827,3624,192,13,广西,1698156302,327,BV12H4y197em
89地球尽头！东瀛大战炎黄！核污水再现！怪物和尚？漫画解说！战斗热血,白骨龙傲天,17686,27,192,1495,437,10,河南,1712910600,346,BV1mm42177Yf
——神不用记得他，他的神会保佑他。,锦瑟闻香图书,12561,0,784,4227,34,41,北京,1712892311,15,BV1tE421u7M1
【龙族人物志】零：你可以相信我，把我看作伙伴。,糊涂上校,19475,6,335,828,71,12,河南,1712829583,175,BV13J4m1V7ML
这小说燃起来了！闭关的百年我出世后，竟然把曾孙女吓哭了！,桃子爱看文,65370,0,1025,310,13,1,湖北,1712478684,50,BV1yr421x7Ds
完结！撒花！林澜：“宋悲，你来接我了啊”——大结局（下）,米西家的肥四,16371,14,436,553,118,9,江西,1712836967,373,BV1Wr421475C
开局做苦力，虾仁混的太惨了,虾米沙雕,31030,84,361,589,57,11,江西,1712718193,5037,BV1oz421y7xN
斗破苍穹：谁才是萧炎的最强继承人？萧潇出生即斗宗，萧霖统领无尽火域,小风漫剪呀,40344,8,160,76,0,0,河北,1712570270,219,BV1XZ421e7sb
